2021 Rank,Airport,2021 Enplaned Passengers,2020 Rank,2020 Enplaned Passengers,Pct. Change 2020-2021
1,"New York, NY: John F. Kennedy International"," 6,360.1 ",1,"4,128.4",54.1
2,"Miami, FL: Miami International"," 5,791.8 ",2,"3,345.0",73.1
3,"Los Angeles, CA: Los Angeles International"," 3,842.2 ",3,"3,114.1",23.4
4,"Newark, NJ: Newark Liberty International"," 3,226.5 ",4,"1,875.7",72.0
5,"Houston, TX: George Bush Intercontinental/Houston"," 3,205.9 ",6,"1,731.4",85.2
6,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"," 2,908.0 ",8,"1,636.6",77.7
7,"Atlanta, GA: Hartsfield-Jackson Atlanta International"," 2,783.8 ",7,"1,677.0",66.0
8,"Chicago, IL: Chicago O'Hare International"," 2,635.9 ",5,"1,743.4",51.2
9,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"," 1,954.1 ",10,"1,403.3",39.3
10,"Washington, DC: Washington Dulles International"," 1,619.9 ",11,957.9,69.1
11,"San Francisco, CA: San Francisco International"," 1,593.0 ",9,"1,548.7",2.9
12,"Boston, MA: Logan International"," 1,049.3 ",12,776.2,35.2
13,"Charlotte, NC: Charlotte Douglas International", 997.3 ,15,529.7,88.3
14,"Orlando, FL: Orlando International", 922.4 ,13,772.4,19.4
15,"Denver, CO: Denver International", 917.3 ,17,456.5,100.9
16,"Seattle, WA: Seattle/Tacoma International", 763.7 ,14,618.6,23.5
17,"Phoenix, AZ: Phoenix Sky Harbor International", 587.8 ,20,370.6,58.6
18,"Philadelphia, PA: Philadelphia International", 519.1 ,22,335.1,54.9
19,"Detroit, MI: Detroit Metro Wayne County", 483.5 ,18,426.2,13.4
20,"Minneapolis, MN: Minneapolis-St Paul International", 373.7 ,19,409.2,-8.7
21,"Las Vegas, NV: Harry Reid International", 368.4 ,21,363.1,1.5
22,"Houston, TX: William P Hobby", 333.9 ,25,160.2,108.4
23,"San Antonio, TX: San Antonio International", 333.3 ,37,76.6,335.1
24,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall", 330.0 ,24,168.3,96.1
25,"Salt Lake City, UT: Salt Lake City International", 289.6 ,26,153.4,88.8
26,"Chicago, IL: Chicago Midway International", 260.0 ,29,133.8,94.3
27,"San Juan, PR: Luis Munoz Marin International", 229.0 ,30,127.4,79.7
28,"San Jose, CA: Norman Y. Mineta San Jose International", 186.4 ,27,148.0,25.9
29,"New York, NY: LaGuardia", 172.4 ,23,201.3,-14.4
30,"Sacramento, CA: Sacramento International", 148.2 ,34,90.1,64.5
31,"Oakland, CA: Metro Oakland International", 142.6 ,32,107.6,32.5
32,"Fresno, CA: Fresno Yosemite International", 130.9 ,36,83.3,57.1
33,"Austin, TX: Austin - Bergstrom International", 118.8 ,41,39.2,203.1
34,"Portland, OR: Portland International", 105.1 ,33,104.7,0.4
35,"St. Louis, MO: St Louis Lambert International", 100.2 ,42,35.4,183.1
36,"San Diego, CA: San Diego International", 99.0 ,31,121.2,-18.3
37,"Tampa, FL: Tampa International", 77.8 ,28,139.4,-44.2
38,"Honolulu, HI: Daniel K Inouye International", 73.6 ,16,491.6,-85.0
39,"Santa Ana, CA: John Wayne Airport-Orange County", 71.0 ,57,8.8,706.8
40,"Ontario, CA: Ontario International", 57.1 ,40,41.2,38.6
41,"Palm Springs, CA: Palm Springs International", 42.5 ,35,88.0,-51.7
42,"Raleigh/Durham, NC: Raleigh-Durham International", 36.1 ,48,23.8,51.7
43,"Cleveland, OH: Cleveland-Hopkins International", 33.2 ,49,17.5,89.7
44,"Kahului, HI: Kahului Airport", 31.1 ,39,44.4,-30.0
45,"Nashville, TN: Nashville International", 30.3 ,47,23.8,27.3
46,"Washington, DC: Ronald Reagan Washington National", 27.3 ,43,33.3,-18.0
47,"Fort Myers, FL: Southwest Florida International", 26.7 ,38,74.3,-64.1
48,"Hartford, CT: Bradley International", 24.9 ,55,9.7,156.7
49,"Reno, NV: Reno/Tahoe International", 23.0 ,51,14.8,55.4
50,"New Orleans, LA: Louis Armstrong New Orleans International", 16.6 ,46,24.6,-32.5