COUNTRY,POPULATION
Afghanistan,"34,636,208"
Albania,"2,881,063"
Algeria,"40,339,329"
Angola,"29,154,746"
Antigua and Barbuda,"90,565"
Argentina,"43,668,242"
Armenia,"2,865,835"
Aruba,"104,875"
Australia,"24,195,702"
Austria,"8,736,487"
Azerbaijan,"9,976,248"
Bahamas,"395,977"
Bahrain,"1,409,661"
Bangladesh,"159,784,569"
Barbados,"278,649"
Belarus,"9,708,110"
Belgium,"11,316,836"
Belize,"367,313"
Benin,"11,260,085"
Bhutan,"749,762"
Bolivia,"11,263,016"
Bosnia and Herzegovina,"3,480,986"
Botswana,"2,352,416"
Brazil,"206,859,578"
Brunei Darussalam,"425,994"
Bulgaria,"7,245,975"
Burkina Faso,"19,275,498"
Burundi,"10,903,328"
Cabo Verde,"558,395"
Cambodia,"15,624,584"
Cameroon,"23,711,630"
Canada,"36,113,532"
Central African Republic,"4,904,178"
Chad,"14,592,585"
Chile,"18,083,880"
China,"1,401,889,681"
"China, Hong Kong SAR","7,435,927"
"China, Macao SAR","626,689"
Colombia,"47,625,956"
Comoros,"746,232"
Congo,"5,186,824"
Costa Rica,"4,945,205"
Ivory Coast,"24,213,622"
Croatia,"4,223,751"
Cuba,"11,342,012"
Curaçao,"170,740"
Cyprus,"1,197,882"
Czech Republic,"10,527,591"
DR Congo,"81,430,977"
South Korea,"25,389,611"
Denmark,"5,706,857"
Djibouti,"1,023,262"
Dominican Republic,"10,527,592"
Ecuador,"16,439,585"
Egypt,"99,784,030"
El Salvador,"6,250,510"
Equatorial Guinea,"1,398,927"
Eritrea,"3,365,288"
Estonia,"1,315,926"
Ethiopia,"105,293,229"
Fiji,"918,371"
Finland,"5,495,219"
France,"63,989,319"
French Guiana,"262,814"
French Polynesia,"293,542"
Gabon,"2,086,206"
Gambia,"2,317,206"
Georgia,"3,771,110"
Germany,"82,331,423"
Ghana,"29,554,303"
Greece,"10,749,742"
Grenada,"119,966"
Guadeloupe,"397,854"
Guam,"168,347"
Guatemala,"16,291,004"
Guinea,"11,930,985"
Guinea-Bissau,"1,834,552"
Guyana,"759,087"
Haiti,"10,713,849"
Honduras,"9,460,798"
Hungary,"9,815,105"
Iceland,"335,675"
India,"1,338,636,340"
Indonesia,"261,850,182"
Iran,"83,306,231"
Iraq,"38,697,943"
Ireland,"4,715,788"
Israel,"8,159,009"
Italy,"60,118,627"
Jamaica,"2,802,696"
Japan,"126,993,858"
Jordan,"9,964,656"
Kazakhstan,"18,078,553"
Kenya,"47,894,670"
Kiribati,"118,513"
Kuwait,"4,048,085"
Kyrgyzstan,"6,018,299"
Laos,"6,891,363"
Latvia,"1,973,476"
Lebanon,"6,258,620"
Lesotho,"2,143,872"
Liberia,"4,706,098"
Libya,"6,282,196"
Lithuania,"2,933,674"
Luxembourg,"583,351"
Madagascar,"25,501,941"
Malawi,"17,405,624"
Malaysia,"31,526,418"
Maldives,"454,253"
Mali,"18,700,106"
Malta,"467,705"
Martinique,"380,345"
Mauritania,"4,051,891"
Mauritius,"1,293,911"
Mayotte,"260,283"
Mexico,"121,519,222"
Micronesia (Fed. States of),"109,926"
Monaco,"37,071"
Mongolia,"3,029,555"
Montenegro,"633,264"
Morocco,"35,107,264"
Mozambique,"27,696,493"
Myanmar,"51,892,349"
Namibia,"2,323,352"
Nepal,"27,861,186"
Netherlands,"17,124,505"
New Caledonia,"283,748"
New Zealand,"4,668,081"
Nicaragua,"6,389,235"
Niger,"20,921,743"
Nigeria,"188,666,931"
Norway,"5,236,590"
Oman,"4,398,070"
Pakistan,"213,524,840"
Panama,"4,026,337"
Papua New Guinea,"8,899,170"
Paraguay,"6,266,616"
Peru,"31,132,779"
Philippines,"104,875,267"
Poland,"38,532,113"
Portugal,"10,332,753"
Puerto Rico,"3,432,741"
Qatar,"2,595,166"
Republic of Korea,"51,309,984"
Republic of Moldova,"3,225,123"
Réunion,"926,628"
Romania,"19,797,820"
Russian Federation,"145,109,157"
Rwanda,"11,930,900"
Saint Lucia,"176,414"
Saint Vincent and the Grenadines,"105,963"
Samoa,"205,544"
Sao Tome and Principe,"204,633"
Saudi Arabia,"33,416,270"
Senegal,"14,751,357"
Serbia,"7,493,288"
Seychelles,"100,509"
Sierra Leone,"7,493,913"
Singapore,"5,711,933"
Slovakia,"5,431,204"
Slovenia,"2,090,020"
Solomon Islands,"628,102"
Somalia,"14,292,847"
South Africa,"56,422,274"
South Sudan,"11,066,105"
Spain,"46,473,315"
Sri Lanka,"21,425,494"
State of Palestine,"4,593,848"
Sudan,"39,377,169"
Suriname,"581,453"
Swaziland,"1,142,524"
Sweden,"9,953,317"
Switzerland,"8,372,898"
Syrian Arab Republic,"18,964,252"
Taiwan,"23,594,471"
Tajikistan,"8,725,319"
Tanzania,"54,401,802"
TFYR Macedonia,"2,110,196"
Thailand,"70,607,037"
Timor-Leste,"1,224,562"
Togo,"7,661,354"
Tonga,"105,708"
Trinidad and Tobago,"1,469,330"
Tunisia,"11,685,668"
Turkey,"81,019,395"
Turkmenistan,"5,868,562"
Uganda,"38,748,299"
Ukraine,"44,833,569"
United Arab Emirates,"8,994,263"
United Kingdom,"65,655,203"
United States of America,"327,210,198"
United States Virgin Islands,"102,316"
Uruguay,"3,413,766"
Uzbekistan,"31,453,575"
Vanuatu,"283,218"
Venezuela,"30,741,464"
Vietnam,"93,126,529"
Western Sahara,"505,456"
Yemen,"29,274,003"
Zambia,"16,767,761"
Zimbabwe,"14,452,705"